,firsts,lasts,lifespans,mentions
ܐܝܘܦܗܪܣܐ,950.0,950.0,0.0,1
ܐܝܘܦܗܪܬܝܛܝܩܝ,950.0,950.0,0.0,1
ܐܝܘܦܘܣܛܐܣܝܣ,950.0,950.0,0.0,1
ܐܝܘܦܘܣܛܝܩܝܗܛܗ,950.0,950.0,0.0,1
ܐܝܘܦܣܘܣ,950.0,950.0,0.0,1
ܐܝܘܦܣܘܬܝܛܘ,950.0,950.0,0.0,1
ܐܝܘܦܣܠܝܘܢ,950.0,950.0,0.0,1
ܐܝܘܩܪܛܠܝܐ,950.0,950.0,0.0,1
ܐܝܛܐ,350.0,1525.0,1175.0,268
ܐܝܛܐܠܐܟܝܐ,950.0,950.0,0.0,1
ܐܝܛܐܠܘܣ,350.0,350.0,0.0,4
ܐܝܛܐܠܝܩܝ,950.0,1250.0,300.0,9
ܐܝܛܘ,950.0,950.0,0.0,2
ܐܝܛܘܡܐ,950.0,950.0,0.0,1
ܐܝܛܝܐܛܝܩܝ,950.0,950.0,0.0,1
ܐܝܛܝܣܐܝ,950.0,950.0,0.0,1
ܐܝܛܝܪܝܘܢ,950.0,950.0,0.0,1
ܐܝܛܪܘܣ,950.0,950.0,0.0,3
ܐܝܛܪܝܢ,950.0,950.0,0.0,1
ܐܝܟܘܣ,525.0,950.0,425.0,4
ܐܝܟܘܣܐ,950.0,950.0,0.0,4
ܐܝܟܝܣܐܢ,950.0,950.0,0.0,1
ܐܝܟܡܐܠܠܝܣܣܝܐ,950.0,950.0,0.0,1
ܐܝܟܣܗܐܝ,950.0,950.0,0.0,1
